 TICKER, CODE, EXCHANGE, NAME
GMAB,GMAB,CO,Genmab A/S
GWW,GWW,F,W.W. Grainger Inc
VRSK,VA7A,F,Verisk Analytics Inc
VRSK,VA7A,STU,VERISK ANALYTICS (VA7A.SG)
VRSK,VA7A,MU,VERISK ANLYTCS-A
SE,931,F,Sea Limited
TU,BCZ,F,TELUS  - Frankfurt Stock Exchang
TU,T,TO,Telus Corp
SLF,SLF,TO,Sun Life Financial Inc.
GLW,GLW,F,Corning Incorporated
ORAN,FTE,XETRA,Orange SA
ORAN,ORAN,PA,Orange SA
IFF,IFF,F,International Flavors & Fragrances Inc
IFF,IFFT,US,International Flavors & Fragrances Inc
NOK,NOKIA,PA,Nokia Oyj
NOK,NOKIA,HE,Nokia Oyj
FNV,FNV,TO,Franco-Nevada Corporation
LEN,LENB_failed,US,Lennar Corp B
VEEV,VEE,F,Veeva Systems Inc
CRWD,45C,F,CrowdStrike Holdings Inc
DTE,DTJ,US,DTE Energy Company JR SUB DEB 76
DTE,DTP,US,DTE Energy Co
DTE,DTQ,US,DTE Energy Company SUB DEB 62
DTE,DTW,US,DTE Energy Co Pref Series E
DTE,DTY,US,DTE Energy Company
EIX,EIX,F,Edison International
HIG,HGH,US,The Hartford Financial Services Group Inc. DEB FIX/FLT 42
TLK,TCID,F,Telkom Indonesia (Persero) Tbk PT
TLK,TLKM,JK,Telkom Indonesia (Persero) Tbk PT
FANG,7DB,F,Diamondback Energy Inc
BGNE,6160,HK,Beigene Ltd
EFX,EFX,F,Equifax Inc
ACGL,ACGLO,US,Arch Capital Group Ltd.
ACGL,ACGLP,US,Arch Capital Group Ltd
VMC,VMC,F,Vulcan Materials Company
YUMC,0YU,XETRA,YUM CHINA HLDGS    DL-01
RJF,RJF,F,Raymond James Financial Inc
AVB,AVB,F,Asiatravel.com Holdings Ltd
EQR,EQR,F,Equity Residential
MT,ARRD,XETRA,ArcelorMittal SA
MT,MT,AS,ArcelorMittal SA
MT,MTCN,US,Arcelormittal
MT,MTS,MC,ArcelorMittal SA
SIRI,0L6Z,LSE,Sirius XM Holdings Inc
SIRI,RDO,XETRA,Sirius Xm Holdings Inc
SIRI,RDO,F,Sirius XM Holding Inc
FITB,FITBI,US,Fifth Third Bancorp
FITB,FITBO,US,Fifth Third Bancorp
FITB,FITBP,US,Fifth Third Bancorp
EBAY,EBAY34,SA,eBay Inc.
EBAY,EBAYL,US,eBay Inc. NT 56
CAJ,7751,TSE,Canon Inc
TTD,TT8,F,The Trade Desk Inc
CNHI,37C,F,CNH Industrial NV
CNHI,CNHI,MI,CNH Industrial NV
PPL,PPL,F,PannErgy Nyrt.
TEF,,,
TEF,TEF,MC,Telefonica
GIB,CJ5A,F,CGI Inc
ERIC,ERICA,ST,L.M. Ericsson Telephone Co. Series A
ERIC,ERICB,ST,Telefon AB L.M. Ericsson Series B
QSR,QSR,TO,Restaurant Brands International Inc
TECK,TEKB,F,Teck Resources Ltd Class B
FTS,FTS,TO,Fortis Inc
MOH,MHC,F,MegaChips Corporation
AES,AES,XETRA,The AES Corporation
AES,AES,F,The AES Corporation
DOV,DOV,F,Dover Corporation
CNP,CNP,F,Ingredion Incorporated
PBA,PPL,TO,Pembina Pipeline Corp
EPAM,E3M,F,EPAM Systems Inc
PAYC,0PY,F,Paycom Soft
