 TICKER, NAME, TITLE, YEAR BORN
ADW-B,Ms. Sara E. Presutto,Exec. Vice-Pres of People & Culture,NA
ADW-B,Mr. James H. Cole,Exec. Vice-Pres of Bus. to Consumer,NA
AEG,Mr. Steven J. Pelton Sr.,"Pres, CEO & Non-Independent Director",NA
AEG,"Ms. Melinda  Lee C.A., CPA",Chief Financial Officer,NA
AEG,Ms. Tara  Ramsay,VP of People,NA
AEG,Ms. Mangala  D'Sa,VP of Marketing & Innovation,NA
AEM,"Mr. Sean  Boyd C.A., CPA, F.C.A., FCPA",Exec. Chairman,1959
AEM,Mr. Ammar  Al-Joundi M.B.A.,CEO & Non-Independent Director,1964
AEM,"Mr. David  Smith C.Dir., M.Sc., M.Sc. Ing., P.Eng.",Exec. VP of Fin. & CFO,1964
AEM,Mr. Jean  Robitaille,Exec. VP and Chief Strategy & Technology Officer,1963
AEM,Mr. Christopher  Vollmershausen L.L.B.,"Exec. VP of Legal, Gen. Counsel & Corp. Sec.",NA
AEM,"Mr. Peter J. Netupsky C.A., C.F.A., CPA",VP of Corp. Devel.,1981
AEM,Jason  Allaire,VP of People & Social Affairs,NA
AEM,"Mr. Dominique  Girard B.Sc., ENG., P.Eng.","Exec. VP and COO ? Nunavut, Quebec & Europe",NA
AEM,"Mr. Guy  Gosselin Eng., Ing, M.Sc., P.Eng., P.Geo.",Exec. VP of Exploration,NA
AEM,"Ms. Natasha Nella Dominica Vaz MBA, P. Eng.","Exec. VP and COO of Ontario, Australia & Mexico",NA
AEZS,Dr. Klaus  Paulini Ph.D.,"Pres, CEO & Exec. Director",NA
AEZS,Dr. Nicola  Ammer M.D.,Chief Medical Officer & Sr. VP of Clinical Devel.,NA
AEZS,Dr. Matthias  Gerlach,Sr. VP Manufacturing & Supply Chain,NA
AEZS,Mr. Giuliano  La Fratta,Sr. VP of Fin. & CFO,NA
AEZS,Dr. Michael  Teifel,Sr. VP of Non-Clinical Devel. & Chief Scientific Officer,NA
AEZS,Dr. Eckhard G. Guenther Ph.D.,Sr. VP of Bus. Devel. & Alliance Management and MD of AEZS Germany,NA
AEZS,Ms. Amélie  Métivier,Assistant Sec.,NA
AFN,Mr. Paul David Householder,"CEO, Pres & Director",NA
AFN,"Mr. James D. Rudyk C.A., CPA",Chief Financial Officer,1967
AFN,Mr. David  Postill,Sr. VP of Marketing & Customer Experience,NA
AFN,Mr. Scott  McKernan,Sr. VP of USA,NA
AFN,Mr. Andrew  Jacklin,Director of Investor Relations,NA
AFN,Mr. Ryan  Kipp,"Sr. VP of Legal, Gen. Counsel & Corp. Sec.",NA
AFN,Mr. Noam  Silberstein,Sr. VP of Corp. Devel.,NA
AFN,Ms. Marie  McKeegan,Sr. VP of HR,NA
AFN,Mr. Ron  Braun,Sr. VP of Farm,NA
AFN,Mr. Dan  Donner,Sr. VP of Commercial,NA
AGF-B,"Mr. Blake Charles Goldring CFA, CM, LL.D., M.S.M.",Exec. Chairman,1958
AGF-B,"Mr. Kevin Andrew McCreadie C.F.A., CFA, MBA","CEO, Chief Investment Officer & Director",1961
AGF-B,"Ms. Judith Gail Goldring L.L.B., LLD","Pres, Head of Global Distribution & Director",1966
AGF-B,Mr. Charles Christopher Jackson,Chief Operating Officer,NA
AGF-B,Ms. Jenny  Quinn,"VP, Chief Accounting Officer & Interim CFO",NA
AGF-B,"Mr. Mark William Adams L.L.B., LLB",Chief Legal Officer & Corp. Sec.,NA
AGF-B,Amanda  Marchment,Director of Corp. Communications,NA
AGF-B,Ms. Karrie  Van Belle,Chief Marketing & Innovation Officer,NA
AGF-B,"Mr. Stephen William Way C.F.A., CFA",Sr. VP of AGF Investments Inc. & Portfolio Mang. of AGF Investments Inc.,NA
AGF-B,"Mr. Anthony  Genua C.F.A., CFA",Sr. VP & Portfolio Mang.,NA
AGI,Mr. John A. McCluskey,"Pres, CEO & Director",1960
AGI,"Mr. James R. Porter B.A.Sc., CPA, CA, CPA, (Illinois)",Chief Financial Officer,NA
AGI,"Dr. Luis  Chavez-Martinez B.A., M.Sc., Ph.D.",Sr. VP of Mexico,1954
AGI,"Mr. John Michael Fitzgerald M.B.A., P.Eng.",Sr. VP of Projects,NA
AGI,"Mr. Luc  Guimond B.Sc., P.Eng.",Chief Operating Officer,NA
AGI,"Mr. Christopher  Bostwick B.Sc., FAusIMM",Sr. VP of Technical Services,1962
AGI,Mr. Scott  Parsons CFA,VP of Investor Relations,NA
AGI,"Mr. Nils Frederik Jonas Engelstad BA, LL.B, LL.M, M.A.",Sr. VP & Gen. Counsel,1979
AGI,Ms. Rebecca  Thompson B.A.,VP of Public Affairs,NA
AGI,"Ms. Christine  Barwell M.B.A., CHRL, CCP, GRP",VP of HR,NA
AH,Ms. Patricia  Symmes,Chief Exec. Officer,NA
AH,Mr. Matthew  Sale,Chief Financial Officer,NA
AH,Mr. Nicholas  Bergamini,Vice-Pres of Investor Relations & Communications,NA
AH,Mr. David  Shepherd,Sr. VP of HR,NA
AI,Mr. Robert G. Goodall MBA,"Founder, CEO, Pres & Director",1958
AI,Mr. John  Ahmad,Chief Financial Officer,NA
AI,Mr. Richard  Munroe,Chief Operating Officer,NA
AI,Mr. Phil  Fiuza,Managing Director of Ontario - Residential,NA
AI,Mr. Bram  Rothman MBA,Managing Director of Ontario,NA
AI,Ms. Marianne  Dobslaw,Managing Director of British Columbia,NA
AI,"Mr. Adam  McDonald CPA, CA",Treasurer & Controller,NA
AIF,Mr. Jim  Hannon,Chief Exec. Officer,NA
AIF,Mr. Angelo  Bartolini,Chief Financial Officer,NA
AIF,Mr. Alex  Probyn,Global Pres of Property Tax Bus.,NA
AIF,Mr. Jorge  Blanco,Pres of Altus Analytics Bus. & Chief Commercial Officer,NA
AIF,Mr. David  Ross,Chief Information Officer,NA
AIF,Ms. Terrie-Lynne  Devonish,Chief Legal Officer & Corp. Sec.,NA
AIF,Ms. Camilla  Bartosiewicz,Chief Communication Officer,NA
AIF,Mr. Walter  Turney,"Global Head of Sales, ARGUS",NA
AIF,Mr. Ernest  Clark,Chief Marketing Officer,NA
AIF,Ms. Kim  Carter,Chief People Officer,NA
AII,Mr. M. Lewis Black,"Chairman, Pres & CEO",1971
AII,Mr. John  Yi,Pres - Almonty Korea Tungsten,NA
AII,Ms. Marion  McGrath,Corp. Sec.,1961
AII,"Mr. Piers Richard Lewis AGIA, B.Com., BComm, C.A., CA",Co-Company Sec.,NA
AIM,Mr. Philip Charles Mittleman,CEO & Director,1971
AIM,Mr. Michael  Lehmann,Pres & Director,NA
AIM,Mr. Steven  Leonard,Chief Financial Officer,NA
AIM,Mr. Evan Richard Newman,"Pres & Director of Bus. Devel. at Mittleman Investment Management, LLC",NA
AIM,Mr. Tom  Tran,Director of Investor Relations,NA
AIM,Mr. Eric  Blondeau,Chief Legal Officer & Corp. Sec.,NA
AIM-PA,Mr. Philip Charles Mittleman,CEO & Director,1971
AIM-PA,Mr. Michael  Lehmann,Pres & Director,NA
AIM-PA,Mr. Steven  Leonard,Chief Financial Officer,NA
AIM-PA,Mr. Evan Richard Newman,"Pres & Director of Bus. Devel. at Mittleman Investment Management, LLC",NA
AIM-PA,Mr. Tom  Tran,Director of Investor Relations,NA
AIM-PA,Mr. Eric  Blondeau,Chief Legal Officer & Corp. Sec.,NA
AIM-PC,Mr. Philip Charles Mittleman,CEO & Director,1971
AIM-PC,Mr. Michael  Lehmann,Pres & Director,NA
AIM-PC,Mr. Steven  Leonard,Chief Financial Officer,NA
AIM-PC,Mr. Evan Richard Newman,"Pres & Director of Bus. Devel. at Mittleman Investment Management, LLC",NA
AIM-PC,Mr. Tom  Tran,Director of Investor Relations,NA
AIM-PC,Mr. Eric  Blondeau,Chief Legal Officer & Corp. Sec.,NA
AKE,Mr. Martin Perez de Solay,"MD, CEO & Director",1970
AKE,"Mr. Neil  Kaplan BAcc, C.A., CA",Chief Financial Officer,NA
AKE,Mr. Andrew  Barber B.Sc.,Chief Investor Relations Officer,NA
AKE,Mr. John  Sanders,Chief Legal Officer & Joint Company Sec.,NA
AKE,"Mr. Richard Stacy Anthon B.A., BA, FAIM, L.L.B., L.L.M., LLB, M.A.I.C.D., M",Corp. Devel. Mang.,NA
AKE,Mr. Christian  Barbier M.Sc.,Chief Sales & Marketing Officer,NA
AKE,Illeana  Freire,Chief HR Officer,NA
AKE,"Mr. Christian  Cortes BACC, C.A., EMBA",Chief of Staff,NA
AKE,Mr. Hersen  Porta,Head of Argentina Operations,NA
AKE,"Mr. Simon Michael Hay B.Sc., BSc (Hons), Grad Dip, MAICD, MAppSc",Pres of International Bus.,1967
AKT-A,Ms. Linda A. Southern-Heathcott ICD.D,Exec. Chair & CEO,1963
AKT-A,Mr. Colin A. Dease,Pres & COO,1975
AKT-A,"Mr. Darcy  Reynolds C.A., CPA",VP of Fin. & CFO,1976
AKT-A,Mr. Lorne A. Thompson,VP of Technical Operations,1970
AKT-A,Mr. Fred O. Hensel,VP of Canadian Operations,1961
AKU,Mr. Riadh  Zine-El-Abidine,Chairman & CEO,1972
AKU,Mr. Rohit  Navani,Exec. VP & Chief Transformation Officer,1977
AKU,Mr. David  Kretschmer,Interim Chief Financial Officer,NA
