 TICKER,DATE,PERIOD,GROWTH,EARNINGS ESTIMATE AVG,EARNINGS ESTIMATE LOW,EARNINGS ESTIMATE HIGH,EARNINGS ESTIMATE YEAR AGO EPS,EARNINGS ESTIMATE NUMBER OF ANALYSTS,EARNINGS ESTIMATE GROWTH,REVENUE ESTIMATE AVG,REVENUE ESTIMATE LOW,REVENUE ESTIMATE HIGH,REVENUE ESTIMATE YEAR AGO EPS,REVENUE ESTIMATE NUMBER OF ANALYSTS,REVENUE ESTIMATE GROWTH,EPS TREND CURRENT,EPS TREND7DAYS AGO,EPS TREND30DAYS AGO,EPS TREND60DAYS AGO,EPS TREND90DAYS AGO,EPS REVISIONS UP LAST7DAYS,EPS REVISIONS UP LAST30DAYS,EPS REVISIONS DOWN LAST7DAYS,EPS REVISIONS DOWN LAST30DAYS
SAGCEM,2023-03-31,0y,-1.4210,-2.1200,-2.5000,-1.4000,5.0300,4.0000,-1.4210,22409400000.00,20774000000.00,23275000000.00,,8.00,0.4030,-2.1200,-2.1200,0.1000,1.2100,5.3800,0.0000,0.0000,,0.0000
SAGCEM,2022-12-31,0q,,0.0000,0.0000,0.0000,0.3900,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
SAGCEM,2020-03-31,+1y,,0.0000,0.0000,0.0000,,0.0000,,14161300000.00,13074000000.00,15720000000.00,,6.00,0.1750,0.0000,31.3500,31.3500,31.3500,31.3500,0.0000,0.0000,0.0000,0.0000
SAGCEM,2019-03-31,0y,,0.0000,0.0000,0.0000,,0.0000,,12055300000.00,11665000000.00,12786000000.00,,6.00,0.1610,0.0000,15.6500,15.6500,15.6500,15.6500,0.0000,0.0000,0.0000,0.0000
SAGCEM,2018-09-30,+1q,,0.0000,0.0000,0.0000,,0.0000,,2577000000.00,2619000000.00,2644000000.00,,2.00,0.0960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SAGCEM,2018-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,2749000000.00,2765000000.00,2907000000.00,,3.00,-0.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SAGCEM,2018-03-31,+1y,,21.6200,16.6000,30.1000,,7.0000,,10474800000.00,9535000000.00,11939000000.00,,8.00,0.2870,21.6200,22.4800,24.1100,23.1100,24.2700,0.0000,0.0000,1.0000,
SAGCEM,2017-06-30,+1q,,0.0000,0.0000,0.0000,,0.0000,,3006500000.00,2430000000.00,2601000000.00,,4.00,0.5160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
SAGCEM,2017-03-31,0y,,0.0000,0.0000,0.0000,,0.0000,,8138400000.00,8746000000.00,12041000000.00,,3.00,0.0840,0.0000,32.8700,32.8700,32.8700,32.8700,0.0000,0.0000,0.0000,
SAIL,2024-03-31,+1y,0.5780,11.2500,6.3000,16.1000,7.1300,17.0000,0.5780,1005440000000.00,856000000000.00,1161600000000.00,,19.00,-0.0160,11.2500,11.2500,11.4800,11.7300,12.1500,0.0000,0.0000,,0.0000
SAIL,2023-03-31,0y,-0.7620,7.1300,1.9000,14.9000,29.9500,16.0000,-0.7620,1022210000000.00,916311000000.00,1123660000000.00,,13.00,-0.0120,7.1300,7.1300,7.2100,10.2100,10.2900,0.0000,0.0000,,0.0000
SAIL,2022-12-31,0q,-0.4990,2.1900,2.1900,2.1900,4.3700,1.0000,-0.4990,267000000000.00,267000000000.00,267000000000.00,,1.00,,2.1900,2.1900,2.1900,2.1900,0.0000,0.0000,0.0000,,0.0000
SAIL,2020-03-31,+1y,0.5670,9.0100,5.7100,13.5000,5.7500,12.0000,0.5670,735723000000.00,688700000000.00,815007000000.00,,12.00,0.0900,9.0100,9.0100,9.0100,8.4500,8.6600,0.0000,0.0000,0.0000,0.0000
SAIL,2019-03-31,0y,5.6750,5.7500,2.7300,10.2400,-1.2300,13.0000,5.6750,674875000000.00,645380000000.00,746088000000.00,,12.00,0.1730,5.7500,5.0400,4.9500,4.1600,4.2200,0.0000,1.0000,0.0000,0.0000
SAIL,2018-09-30,+1q,3.3220,1.3700,1.3700,1.3700,-0.5900,1.0000,3.3220,0.00,0.00,0.00,,0.00,,1.3700,1.3700,1.0600,1.0600,1.0600,0.0000,1.0000,0.0000,0.0000
SAIL,2018-06-30,0q,1.7890,1.5300,1.2500,1.8000,-1.9400,2.0000,1.7890,152651000000.00,152651000000.00,152651000000.00,,1.00,0.3180,1.5300,1.5300,0.9600,0.9600,0.9600,0.0000,1.0000,0.0000,0.0000
SAIL,2018-03-31,0y,0.6740,-2.0700,-7.7000,0.4000,-6.3400,11.0000,0.6740,573046000000.00,508511000000.00,642808000000.00,,11.00,0.2890,-2.0700,-2.0700,-0.9200,-2.4600,-2.5300,2.0000,5.0000,0.0000,
SAIL,2017-12-31,0q,0.9430,-0.1100,-0.2200,0.0000,-1.9200,2.0000,0.9430,145602000000.00,141764000000.00,149934000000.00,,6.00,0.3040,-0.1100,-0.1100,-0.2200,-0.4500,-0.4500,0.0000,0.0000,0.0000,
SAKSOFT,2020-03-31,+1y,0.1840,0.0000,0.0000,0.0000,28.8300,0.0000,0.1840,3731310000.00,3731310000.00,3731310000.00,,1.00,0.1350,0.0000,34.1400,34.1400,34.1400,34.1400,0.0000,0.0000,0.0000,0.0000
SAKSOFT,2019-03-31,0y,0.3930,0.0000,0.0000,0.0000,20.7000,0.0000,0.3930,3287500000.00,3287500000.00,3287500000.00,,1.00,0.1500,0.0000,28.8300,28.8300,28.8300,28.8300,0.0000,0.0000,0.0000,0.0000
SAKSOFT,2018-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
