 TICKER, CODE, EXCHANGE, NAME
NTR,NTR,US,Nutrien Ltd
NVA,NVG,F,NuVista Energy Ltd
NVA,NVG,BE,NUVISTA ENERGY
NVCN,NVCN,US,Neovasc Inc
NXE,NXE,US,NexGen Energy Ltd.
OGC,,,
OGC,OGC,AU,OceanaGold Corporation DRC
OGC,RQQ1,F,OceanaGold Corporation
OGI,0OG,F,OrganiGram Holdings Inc
OGI,OGI,US,OrganiGram Holdings Inc
ONC,ONCY,US,Oncolytics Biotech Inc
OTEX,OTEX,US,Open Text Corp
OVV,OVV,US,Ovintiv Inc
PAAS,PAA,F,PARTNERRE - Frankfurt Stock Exchang
PAAS,PAAS,US,Pan American Silver Corp
PNE,GME,F,Geratherm Medical AG
PNE,GME,BE,GERATHERM MEDICAL 
POM,PLM,US,Polymet Mining Corp
PRMW,GC6,F,Primo Water Corp
PRMW,PRMW,US,Primo Water Corp
PRU,P4Q,BE,PERSEUS MINING
PRU,P4Q,MU,PERSEUS MINING
PRU,P4Q,F,Perseus Mining Limited
PRU,P4Q,STU,PERSEUS MINING (P4Q.SG)
PRU,PRU,AU,Perseus Mining Ltd
PTM,PLG,US,Platinum Group Metals Ltd
QEC,QEC,OL,Questerre Energy Corporation
QSR,QSR,US,Restaurant Brands International Inc
RBA,RBA,US,Ritchie Bros Auctioneers
RFP,7AB1,F,Resolute Forest Products Inc
RFP,RFP,US,Resolute Forest Products Inc
RTG,RTG,AU,RTG Mining Inc
RY,RY,US,Royal Bank of Canada
SBI,SRB,LSE,Serabi Gold PLC
SCL,S9W,F,Shawcor Ltd
SCY,0E6,MU,EMC METALS
SCY,0E6,F,Scandium International Mining Corp
SGQ,,,
SGQ,1878,HK,SouthGobi Resources Ltd.
SGQ,SGQ,F,Sin Ghee Huat Corporation Ltd
SII,SII,US,Sprott Inc.
SOLG,SOLG,LSE,SolGold PLC
SOY,SOY,F,SUNOPTA - Frankfurt Stock Exchang
SOY,SOY,BE,SUNOPTA
SOY,STKL,US,SunOpta Inc.
SPB,8SP,F,Superior Plus Corp
SPB,8SP,BE,SUPERIOR PLUS
SSL,AYS1,F,Sandstorm Gold Ltd
SSL,SAND,US,Sandstorm Gold Ltd N
SSRM,SSRM,US,SSR Mining Inc
SSRM,ZSV,F,SSR Mining Inc
SSRM,ZSV,MU,SSR Mining Inc
SU,SU,US,Suncor Energy Inc
SVM,S9Y,F,Silvercorp Metals Inc
SVM,SVM,US,Silvercorp Metals Inc
SW,SWIR,US,Sierra Wireless Inc.
T,BCZ,F,TELUS  - Frankfurt Stock Exchang
T,TU,US,Telus Corp
TA,TAC,US,TransAlta Corp
TA,TZ1,F,TransAlta Corporation
TGO,TGO,BE,TRIGANO
TMD,TMDI,US,Titan Medical Inc
TMQ,TMQ,US,Trilogy Metals Inc
TNX,TRX,US,Tanzanian Royalty Exploration Corp
TVE,,,
TVE,9TA1,F,Tamarack Valley Energy Ltd
TXP,TXP,LSE,Touchstone Exploration Inc
URE,URG,US,Ur Energy Inc
USA,USAS,US,Americas Silver Corp
VET,CVZ,F,Vermilion Energy Inc
VET,VET,US,Vermilion Energy Inc.
VGZ,VGZ,US,Vista Gold Corporation
VLE,83PN,F,Valeura Energy Inc
VMD,VMD,US,Viemed Healthcare Inc
WCN,WCN,US,Waste Connections Inc
WCP,,,
WCP,J6I,F,Whitecap Resources Inc
WCP,J6I,BE,WHITECAP RES
WEED,11L1,F,Canopy Growth Corp
WEED,CGC,US,Canopy Growth Corp
WJX,,,
WJX,5WJ,F,Wajax Corporation
WPK,25W,F,Winpak Ltd
WPM,WPM,US,Wheaton Precious Metals Corp
WRG,W1T2,F,Western Energy Services Corp
WRN,31WN,F,Western Copper and Gold Corporation
WRN,WRN,US,Western Copper and Gold Corp
WRX,WR0,BE,WESTFIELD RETAIL TR
WSP,1W3,F,WSP Global Inc
WTE,,,
XAM,,,
XAM,XAM,AU,Xanadu Mines Ltd
Y,,,
YGR,702B,F,Yangarra Resources Ltd
YRI,AUY,US,Yamana Gold Inc
