 TICKER,DATE,EPS ACTUAL
BECTORFOOD,2022-12-31,0
BEL,2022-12-31,1.43
BEL,2022-03-31,6.35
BEL,2018-03-31,5.87
BEL,2017-03-31,4.39
BEML,2022-12-31,0
BEPL,2022-12-31,0
BERGEPAINT,2022-12-31,0
BFUTILITIE,2022-12-31,0
BHAGCHEM,2022-12-31,0
BHAGERIA,2022-12-31,0
BHAGYANGR,2022-12-31,0
BHARATFORG,2022-12-31,0
BHARATGEAR,2022-12-31,0
BHARATRAS,2018-09-30,143.03
BHARTIARTL,2022-12-31,0
BHEL,2022-12-31,-0.52
BHEL,2022-03-31,3.41
BHEL,2017-03-31,0.84
BIGBLOC,2022-12-31,0
BIGBLOC,2018-06-30,2.51
BIL,2017-12-31,6.7
BIL,2017-03-31,1.89
BINDALAGRO,2022-12-31,0
BIOCON,2022-09-30,1.74
BIOCON,2022-03-31,10.43
BIOCON,2018-03-31,6.27
BIOCON,2017-03-31,2.14
BIRLACABLE,2022-12-31,3.69
BIRLACORPN,2022-12-31,0
BIRLAMONEY,2022-12-31,0
BLBLIMITED,2022-12-31,0
BLKASHYAP,2017-12-31,0.42
BLS,2022-12-31,4.55
BLS,2018-03-31,6.59
BLUEDART,2022-12-31,0
BLUESTARCO,2022-12-31,7.94
BLUESTARCO,2018-03-31,8.84
BODALCHEM,2022-12-31,0
BOMDYEING,2022-12-31,0
BORORENEW,2022-12-31,0
BOSCHLTD,2022-12-31,0
BPCL,2022-12-31,-31.02
BPCL,2022-03-31,59.49
BPCL,2018-03-31,40.27
BPCL,2017-03-31,19.83
BPL,2022-12-31,0
BRFL,2022-09-30,0
BRIGADE,2022-12-31,5.94
BRIGADE,2022-03-31,9.88
BRIGADE,2017-03-31,11.54
BRITANNIA,2022-12-31,41.39
BRITANNIA,2018-03-31,58.39
BSE,2022-12-31,3.2
BSE,2022-03-31,53.06
BSOFT,2022-12-31,8.33
BSOFT,2022-03-31,24.28
BSOFT,2018-03-31,6.91
BUTTERFLY,2022-12-31,0
CAMLINFINE,2022-12-31,0
CAMPUS,2022-06-30,0.94
CANBK,2022-12-31,25.07
CANBK,2022-03-31,17.46
CANBK,2018-03-31,-69.67
CANBK,2017-03-31,9.69
CANFINHOME,2022-12-31,0
CANFINHOME,2018-03-31,19.83
CANTABIL,2022-12-31,0
CANTABIL,2017-03-31,0.03
CAPACITE,2022-12-31,0
CAPLIPOINT,2022-12-31,0
CAPTRUST,2022-12-31,0
CARBORUNIV,2022-12-31,0
CARBORUNIV,2018-03-31,11.4
CAREERP,2022-12-31,0
CARERATING,2022-12-31,0
CCCL,2022-12-31,0
CCHHL,2022-12-31,0
CCL,2022-12-31,0
CDSL,2022-12-31,0
CDSL,2022-03-31,32.75
CEATLTD,2022-12-31,44.1
CEATLTD,2017-03-31,43.72
CELEBRITY,2022-12-31,0
CELESTIAL,2017-06-30,0.48
CENTENKA,2022-12-31,0
CENTRALBK,2022-12-31,0
CENTURYPLY,2022-12-31,0
CENTURYTEX,2022-12-31,0
CERA,2022-12-31,30.36
CERA,2022-03-31,169.88
CESC,2022-12-31,6.68
CESC,2021-03-31,1.88
CESC,2020-03-31,36.06
CESC,2018-03-31,65.76
CESC,2017-03-31,32.63
CGCL,2022-12-31,0
CGPOWER,2022-12-31,2.27
CHALET,2022-12-31,2.15
CHALET,2022-03-31,-1.34
CHAMBLFERT,2022-12-31,0
CHAMBLFERT,2018-03-31,11.45
CHEMBOND,2022-12-31,0
CHEMCON,2022-12-31,0
CHEMFAB,2022-12-31,0
CHENNPETRO,2022-12-31,0
CHOLAFIN,2022-12-31,37.68
CHOLAFIN,2018-03-31,34.54
CHOLAHLDNG,2022-12-31,0
CIGNITITEC,2022-12-31,0
CIPLA,2022-12-31,18.27
CIPLA,2022-03-31,47.78
CIPLA,2018-03-31,18.47
CIPLA,2017-03-31,3.88
CLEAN,2022-09-30,17.77
CLEDUCATE,2022-12-31,0
CLNINDIA,2022-12-31,0
CLSEL,2022-12-31,0
COALINDIA,2022-12-31,16.21
COALINDIA,2018-03-31,11.31
COALINDIA,2017-03-31,8.99
COASTCORP,2022-12-31,0
COCHINSHIP,2022-12-31,0
COCHINSHIP,2018-03-31,6.74
COFFEEDAY,2022-12-31,0
COFFEEDAY,2018-03-31,3.07
COFORGE,2022-12-31,57.01
COFORGE,2022-03-31,138.36
COFORGE,2018-03-31,26.12
COLPAL,2022-12-31,17.93
COLPAL,2022-03-31,33.98
COLPAL,2017-03-31,16.61
COMPINFO,2022-12-31,0
CONCOR,2022-12-31,0
CONCOR,2022-03-31,4.22
CONCOR,2021-03-31,13.73
CONCOR,2018-03-31,21.54
CONCOR,2017-03-31,24.95
CONFIPET,2022-12-31,0
CONSOFINVT,2022-09-30,-0.3186
CONSOFINVT,2022-03-31,54.8283
CONSOFINVT,2021-03-31,131.5366
CONSOFINVT,2020-03-31,37.8112
CONTROLPR,2022-12-31,0
COROMANDEL,2022-12-31,21.53
COROMANDEL,2018-03-31,22.64
COSMOFIRST,2022-12-31,0
CREATIVE,2022-09-30,7.2202
CREATIVE,2022-03-31,13.1529
CREDITACC,2022-12-31,0
CROMPTON,2022-12-31,6.4
CROMPTON,2017-03-31,1.41
CROWN,2022-09-30,0
CSBBANK,2022-12-31,0
CSLFINANCE,2022-12-31,0
CUB,2022-12-31,6.71
CUB,2022-03-31,9.94
CUB,2018-03-31,8.23
CUB,2017-03-31,3.79
CUMMINSIND,2022-12-31,0
CUPID,2022-12-31,0
CYBERTECH,2022-12-31,0
CYIENT,2022-09-30,17.77
CYIENT,2022-03-31,44.55
CYIENT,2018-03-31,36.29
CYIENT,2017-03-31,17.64
DAAWAT,2022-12-31,1.11
DABUR,2022-12-31,5.24
DABUR,2022-03-31,9.82
DABUR,2021-03-31,3.99
DABUR,2018-03-31,7.74
DABUR,2017-03-31,3.54
DALBHARAT,2022-12-31,12.11
DALMIASUG,2022-12-31,0
DANGEE,2022-09-30,0
DATAMATICS,2022-12-31,0
DATAMATICS,2018-03-31,5.71
DBCORP,2022-12-31,4.12
DBCORP,2022-03-31,17.17
DBCORP,2018-03-31,15.62
DBCORP,2017-03-31,9.99
DBL,2022-12-31,23.04
DBL,2018-03-31,38.01
