 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
MSFT,2012,2012-12-31,8444.0000,8444000000
MSFT,2011,2011-12-31,8465.0000,8465000000
MSFT,2010,2010-12-31,8570.0000,8570000000
MSFT,2009,2009-12-31,8951.0000,8951000000
MSFT,2008,2008-12-31,8914.0000,8914000000
MSFT,2007,2007-12-31,9503.0000,9503000000
MSFT,2006,2006-12-31,9942.0000,9942000000
MSFT,2005,2005-12-31,10638.0000,10638000000
MSFT,2004,2004-12-31,10956.0000,10956000000
MSFT,2003,2003-12-31,10899.0000,10899000000
MSFT,2002,2002-12-31,10882.0000,10882000000
MSFT,2001,2001-12-31,11112.0000,11112000000
MSFT,2000,2000-12-31,11140.0000,11140000000
MSFT,1999,1999-12-31,11040.9091,11040909100
MSFT,1998,1998-12-31,10920.0000,10920000000
MSFT,1997,1997-12-31,10672.0000,10672000000
MSFT,1996,1996-12-31,10571.4286,10571428600
MSFT,1995,1995-12-31,9583.3333,9583333300
MSFT,1994,1994-12-31,9325.0000,9325000000
MSFT,1993,1993-12-31,9633.3333,9633333300
MSFT,1992,1992-12-31,9440.0000,9440000000
MSFT,1991,1991-12-31,8760.0000,8760000000
MSFT,1990,1990-12-31,7526.6667,7526666700
MSFT,1989,1989-12-31,7450.0000,7450000000
MSFT,1988,1988-12-31,7752.5440,7752544000
MSFT,1987,1987-12-31,7583.1040,7583104000
MSFT,1986,1986-12-31,7342.4000,7342400000
MSFT,1985,1985-12-31,7117.9286,7117928600
GOOGL,2022,2022-12-31,13097.0000,13097000000
GOOGL,2021,2021-12-31,13449.8539,13449853900
GOOGL,2020,2020-12-31,13659.3800,13659380000
GOOGL,2019,2019-12-31,13903.8800,13903880000
GOOGL,2018,2018-12-31,14017.9800,14017980000
GOOGL,2017,2017-12-31,13892.0800,13892080000
GOOGL,2016,2016-12-31,14004.4200,14004420000
GOOGL,2015,2015-12-31,13940.5000,13940500000
GOOGL,2014,2014-12-31,13769.8200,13769820000
GOOGL,2013,2013-12-31,13626.9164,13626916400
GOOGL,2012,2012-12-31,13386.1097,13386109700
